1	0.219    0.013
2	0.210    0.012
3	0.203    0.013
4	0.196    0.012
5	0.189    0.012
6	0.183    0.012
7	0.179    0.012
8	0.172    0.011
9	0.167    0.011
10	0.162    0.011
