0  250  0.0226872  0.308997  6.02359e-005  1.06195e-005  3.50928e-005  0.0980024  1.88414e-005  0.0980131  5.39342e-005
10  265.413  0.104568  0.308953  0.000132913  3.50109e-005  0.000128688  0.0979778  0.000119034  0.0980129  0.000247722
20  280.822  0.310884  0.308817  0.000344823  0.000106712  0.000350245  0.0979055  0.000378732  0.0980122  0.000728976
30  296.22  0.685171  0.308486  0.0008192  0.000286117  0.0008217  0.0977246  0.000930659  0.0980107  0.00175236
40  311.593  1.40104  0.30774  0.00179275  0.000689491  0.00178152  0.0973178  0.00206873  0.0980073  0.00385025
50  326.911  2.70429  0.306245  0.00330889  0.00149274  0.00337561  0.096508  0.00394678  0.0980007  0.00732239
60  342.127  4.37292  0.303625  0.00542386  0.00290439  0.00562557  0.0950852  0.00658579  0.0979896  0.0122114
70  357.178  6.3679  0.299539  0.00794231  0.00510539  0.00834231  0.0928678  0.00976447  0.0979732  0.0181068
80  371.986  8.30173  0.293883  0.0102114  0.0081445  0.0109439  0.0898078  0.0127635  0.0979523  0.0237075
90  386.477  9.49237  0.286953  0.0116191  0.0118629  0.0127006  0.086067  0.0147281  0.0979299  0.0274288
100  400.604  9.74001  0.279424  0.0117315  0.0158968  0.0130574  0.082013  0.0150409  0.0979098  0.0280983
110  414.359  8.92946  0.272163  0.010508  0.0197789  0.0119137  0.0781162  0.013617  0.0978951  0.0255307
120  427.775  7.28293  0.265938  0.00834698  0.0230976  0.00965413  0.0747889  0.0109323  0.0978865  0.0205865
130  440.916  5.27094  0.261196  0.00588312  0.0256183  0.00694124  0.0722643  0.00777769  0.0978826  0.0147189
140  453.859  3.37989  0.257985  0.0037024  0.0273204  0.00444235  0.0705609  0.00492483  0.0978812  0.00936718
150  466.676  1.94086  0.256051  0.00207684  0.0283403  0.00253654  0.0695405  0.00278037  0.0978808  0.00531692
160  479.42  0.995631  0.255031  0.0010366  0.0288722  0.00129106  0.0690083  0.00139773  0.0978804  0.00268879
170  492.129  0.452902  0.254605  0.000463944  0.0290835  0.000587257  0.0687963  0.000628498  0.0978798  0.00121575
180  504.827  0.665148  0.254587  0.000532633  0.0290632  0.000542325  0.0688152  0.000593051  0.0978784  0.00113538
190  517.534  1.42554  0.25496  0.00114871  0.028802  0.00117831  0.0690735  0.00129234  0.0978755  0.00247064
200  530.271  2.72063  0.255867  0.00220435  0.0281956  0.00227839  0.0696743  0.00250896  0.0978699  0.00478735
210  543.073  4.59583  0.257558  0.00373659  0.0270765  0.00389298  0.0707839  0.00430424  0.0978605  0.00819722
220  555.983  6.8713  0.260284  0.0055928  0.0252802  0.00587767  0.0725664  0.00651539  0.0978467  0.0123931
230  569.059  9.13435  0.264166  0.00743217  0.0227303  0.00787976  0.0750991  0.00873866  0.0978295  0.0166184
240  582.355  10.8841  0.269094  0.00884996  0.0195035  0.00944616  0.0783078  0.0104805  0.0978112  0.0199267
250  595.915  11.7088  0.274711  0.00950289  0.0158388  0.0101862  0.081956  0.0113348  0.0977948  0.021521
260  609.763  11.3675  0.280486  0.00918603  0.012088  0.00990777  0.0856941  0.011042  0.0977821  0.0209498
270  623.89  9.93943  0.285849  0.00799439  0.00862497  0.00868437  0.0891487  0.00965817  0.0977737  0.0183425
280  638.265  7.85415  0.290343  0.00628039  0.00574449  0.00684586  0.0920246  0.00762919  0.0977691  0.0144751
290  652.838  5.59296  0.293753  0.00442614  0.00358605  0.00486021  0.0941813  0.00541463  0.0977674  0.0102748
300  667.554  3.61116  0.296127  0.0028341  0.00212496  0.00312595  0.0956428  0.00347223  0.0977678  0.00659818
310  682.367  2.13733  0.297703  0.00165804  0.00122523  0.0018354  0.0965452  0.00204585  0.0977704  0.00388125
320  697.246  1.15194  0.298771  0.000885379  0.00071835  0.000987606  0.0970575  0.00109023  0.0977758  0.00207784
330  712.171  0.573548  0.299578  0.000482276  0.000456323  0.00048547  0.0973285  0.000540006  0.0977848  0.00102548
340  727.132  0.256902  0.300284  0.000597274  0.000331526  0.000216442  0.0974659  0.000236611  0.0977974  0.000453053
350  742.129  0.272499  0.300966  0.000671179  0.000275134  8.73719e-005  0.0975378  0.0002036  0.0978129  0.000290972
360  757.159  0.32487  0.301638  0.000688589  0.000247614  3.26043e-005  0.0975822  0.000213145  0.0978298  0.000245749
370  772.222  0.530421  0.302266  0.000638794  0.000228711  3.7715e-005  0.0976173  0.000196723  0.0978461  0.000234438
380  787.313  0.945035  0.302785  0.000526434  0.000209407  5.25407e-005  0.0976495  0.000160572  0.0978589  0.000213113
390  802.427  1.41347  0.303124  0.00056985  0.000186444  6.59355e-005  0.0976785  0.000195275  0.0978649  0.000261211
400  817.551  1.81477  0.303204  0.000747695  0.000159796  7.6455e-005  0.0977  0.000261623  0.0978598  0.000338078
410  832.67  2.39637  0.302874  0.000897691  0.000130957  7.90598e-005  0.0977046  0.000300263  0.0978355  0.000379322
420  847.756  5.46742  0.30178  0.0018612  0.000102221  7.49215e-005  0.0976734  0.000607366  0.0977756  0.000682287
430  862.754  11.7663  0.299172  0.00400348  7.59279e-005  6.68204e-005  0.0975719  0.00131728  0.0976479  0.0013841
440  877.558  23.6176  0.293712  0.00796279  5.36928e-005  5.54261e-005  0.0973453  0.00262344  0.0973989  0.00267886
450  891.978  43.4323  0.28333  0.0144775  3.62087e-005  4.22252e-005  0.0969221  0.00470647  0.0969583  0.00474869
460  905.704  72.7764  0.265304  0.0240174  2.33876e-005  2.92557e-005  0.0962352  0.00770464  0.0962585  0.0077339
